"# Time","IC-RP","norm IC-RP","EC-RP","norm EC-RP","SMAC gen"
49140,1.486,0.8993576017,1.245,0.9738095238,1
49320,1.427,0.8361884368,1.24,0.9678571429,1
49500,1.473,0.8854389722,1.235,0.9619047619,1
49680,1.463,0.874732334,1.244,0.9726190476,1
49860,1.491,0.9047109208,1.222,0.9464285714,1
50040,1.503,0.9175588865,1.221,0.9452380952,1
50220,1.485,0.8982869379,1.234,0.9607142857,1
50400,1.468,0.8800856531,1.237,0.9642857143,1
50580,1.496,0.9100642398,1.242,0.9702380952,1
50760,1.492,0.9057815846,1.243,0.9714285714,1
50940,1.501,0.9154175589,1.239,0.9666666667,1
51120,1.448,0.8586723769,1.238,0.9654761905,1
51300,1.464,0.8758029979,1.229,0.9547619048,1
51480,1.464,0.8758029979,1.222,0.9464285714,1
51660,1.455,0.8661670236,1.231,0.9571428571,1
51840,1.475,0.8875802998,1.24,0.9678571429,1
52020,1.493,0.9068522484,1.254,0.9845238095,1
52200,1.436,0.8458244111,1.246,0.975,1
52380,1.424,0.8329764454,1.242,0.9702380952,1
52560,1.474,0.886509636,1.244,0.9726190476,1
52740,1.459,0.8704496788,1.243,0.9714285714,1
52920,1.482,0.8950749465,1.236,0.9630952381,1
53100,1.454,0.8650963597,1.235,0.9619047619,1
53280,1.476,0.8886509636,1.237,0.9642857143,1
53460,1.47,0.8822269807,1.227,0.9523809524,1
53640,1.47,0.8822269807,1.232,0.9583333333,1
53820,1.469,0.8811563169,1.239,0.9666666667,1
54000,1.437,0.8468950749,1.236,0.9630952381,1
54180,1.466,0.8779443255,1.231,0.9571428571,1
54360,1.474,0.886509636,1.235,0.9619047619,1
54540,1.463,0.874732334,1.226,0.9511904762,1
54720,1.451,0.8618843683,1.235,0.9619047619,1
54900,1.461,0.8725910064,1.232,0.9583333333,1
55080,1.489,0.9025695931,1.231,0.9571428571,1
55260,1.527,0.943254818,1.233,0.9595238095,1
55440,1.526,0.9421841542,1.238,0.9654761905,1
55620,1.491,0.9047109208,1.235,0.9619047619,1
55800,1.499,0.9132762313,1.244,0.9726190476,1
55980,1.469,0.8811563169,1.24,0.9678571429,1
56160,1.499,0.9132762313,1.235,0.9619047619,1
56340,1.494,0.9079229122,1.23,0.955952381,1
56520,1.513,0.9282655246,1.234,0.9607142857,1
56700,1.461,0.8725910064,1.248,0.9773809524,1
56880,1.498,0.9122055675,1.246,0.975,1
57060,1.513,0.9282655246,1.25,0.9797619048,1
57240,1.479,0.891862955,1.239,0.9666666667,1
57420,1.487,0.9004282655,1.251,0.980952381,1
57600,1.482,0.8950749465,1.219,0.9428571429,1
57780,1.499,0.9132762313,1.241,0.969047619,1
57960,1.494,0.9079229122,1.254,0.9845238095,1
58140,1.466,0.8779443255,1.25,0.9797619048,1
58320,1.463,0.874732334,1.256,0.9869047619,1
58500,1.486,0.8993576017,1.242,0.9702380952,1
58680,1.454,0.8650963597,1.244,0.9726190476,1
58860,1.45,0.8608137045,1.262,0.994047619,1
59040,1.449,0.8597430407,1.238,0.9654761905,1
59220,1.494,0.9079229122,1.237,0.9642857143,1
59400,1.479,0.891862955,1.235,0.9619047619,1
59580,1.486,0.8993576017,1.245,0.9738095238,1
59760,1.439,0.8490364026,1.244,0.9726190476,1
59940,1.477,0.8897216274,1.245,0.9738095238,1
60120,1.459,0.8704496788,1.25,0.9797619048,1
60300,1.471,0.8832976445,1.248,0.9773809524,1
60480,1.473,0.8854389722,1.247,0.9761904762,1
60660,1.478,0.8907922912,1.243,0.9714285714,1
60840,1.487,0.9004282655,1.247,0.9761904762,1
61020,1.49,0.903640257,1.254,0.9845238095,1
61200,1.495,0.908993576,1.256,0.9869047619,1
61380,1.481,0.8940042827,1.245,0.9738095238,1
61560,1.469,0.8811563169,1.255,0.9857142857,1
61740,1.476,0.8886509636,1.255,0.9857142857,1
61920,1.493,0.9068522484,1.267,1,1
